需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注
DB-001,数据看板,数据看板-综述-核心统计与待办入口,功能,§页面层级-数据看板-综述,展示品类、范本、资源等总览统计与待办；为运营与编制人员提供健康度与导航入口。,无；左侧菜单「数据看板」可见。,进入页面可见标题区；统计与待办区域渲染完成且不因单接口失败而白屏。,P0,草稿,,
DB-002,数据看板,数据看板-业务流程-读取数据与展示卡片待办,功能,§页面层级-数据看板-业务流程,读取品类树、范本、资源（及可选招标文件）数据；计算总量与状态分布；渲染指标卡与待办。,Mock 或持久化数据可读；客户端完成 storage 水合（若有）。,品类总数、范本总数/状态、招标文件卡片（若展示）数字与数据源一致；待办条数逻辑与实现一致。,P0,草稿,,
DB-003,数据看板,细粒度-页面进入与数据加载,功能,§细粒度-数据看板-页面进入与数据加载,点击左侧「数据看板」进入；加载品类、范本、资源并计算统计（本期不含招标文件维度统计口径验收时可标注）。,无。,卡片与待办展示最新统计；异常时展示空值或默认占位且不阻断页面打开（PRD 失败处理）。,P0,草稿,,
DB-004,数据看板,指标卡-品类总数与产业覆盖提示,功能,§页面层级-数据看板-业务流程,展示品类叶子总数及覆盖产业领域数（或等价 trend 文案）。,品类树数据可用。,数字等于三级树叶子品类计数；趋势文案与产业领域数量一致。,P1,草稿,,
DB-005,数据看板,指标卡-范本总数与已发布/草稿分布,功能,§页面层级-数据看板-业务流程,展示范本总量及已发布、草稿等分布文案。,范本列表数据可用。,范本总数与列表一致；已发布/草稿数量与状态筛选结果一致。,P1,草稿,,
DB-006,数据看板,指标卡-招标文件列表规模（展示层）,功能,§页面层级-数据看板-业务流程,展示招标文件相关统计卡片（若产品保留该维度）。,招标文件 Mock 或接口可用。,卡片数字与 getMockBidDocuments 结果一致；无数据时为 0。,P2,草稿,,
DB-007,数据看板,待办-未完成范本编制（草稿且进度未满）,功能,§页面层级-数据看板-业务流程,待办区提示处于草稿且编制进度未满的范本数量及说明。,存在至少 0 条范本记录。,有未完成草稿时展示 warning 样式与条数；全部完成时展示「暂无」类提示。,P1,草稿,,
DB-008,数据看板,待办-文本更新影响范本提示,功能,§页面层级-数据看板-业务流程,检测引用文本更新时间晚于范本更新时间的范本并提示。,范本章节存在 textFragmentId 绑定；资源带 updatedAt。,存在滞后引用时条数与判定逻辑一致；无影响时展示友好说明。,P1,草稿,,
DB-009,数据看板,快速操作区-入口按钮展示,功能,§页面层级-数据看板-业务流程,展示「新建品类」「维护资源」「编制范本」等快捷入口区块（具体跳转依实现）。,页面加载完成。,区块标题与按钮文案可见；hover 样式符合公共交互规范。,P2,草稿,,
DB-010,数据看板,菜单往返后统计刷新,功能,§页面层级-数据看板-业务流程-4,用户切换离开再返回数据看板时统计应按最新数据刷新。,可在其他页修改品类/范本/资源数据。,返回后数值与当前 Mock 数据一致（或触发重新计算）。,P1,草稿,,
DB-011,数据看板,SSR 与 localStorage 水合一致性,规则,§规则3 & 实现-DashboardPage,首屏使用服务端快照避免水合失败；客户端就绪后切换为本地存储数据。,浏览器允许 localStorage。,控制台无 hydration mismatch；切换后统计更新。,P1,草稿,,
DB-012,数据看板,统计口径-品类数为叶子品类计数,规则,§数据要素-品类树,品类总数按 Category 叶子节点累计而非产业或采购分类数量。,三级树非空。,与手工遍历品类列表计数一致。,P1,草稿,,
DB-013,数据看板,统计口径-范本状态枚举一致,规则,§规则1-状态与流程统一,草稿/已发布/已归档统计与全局状态枚举一致。,存在多种状态范本。,各状态计数之和等于范本总数。,P1,草稿,,
DB-014,数据看板,待办附言-草稿总数与归档引用,功能,§页面层级-数据看板-业务流程,待办项底部时间/附言字段展示辅助信息（如草稿总数、已定稿数等）。,待办组件渲染。,附言数字与对应指标计算一致。,P2,草稿,,
DB-015,数据看板,空数据与异常-不阻断打开,规则,§细粒度-数据看板-页面进入与数据加载,读取失败或数据为空时页面仍可打开并展示 0 或空态。,可模拟空列表。,无崩溃；卡片显示 0 或约定空态文案。,P1,草稿,,
DB-016,数据看板,布局响应式-指标卡栅格,非功能,§公共能力-列表与布局,指标卡在窄屏单列、宽屏三列自适应。,浏览器可调整宽度。,md/lg 断点下栅格列数符合 Tailwind 配置。,P2,草稿,,
DB-017,数据看板,性能-大数据量下列表仍可滚动浏览,非功能,§非功能需求（观测）,待办与快捷操作区在条目增多时可滚动不溢出视口。,Mock 膨胀数据（可选）。,页面不出现横向滚动条（除非设计允许）。,P2,草稿,,
DB-018,数据看板,数据同源-与品类/范本/资源模块一致,规则,§总目标,看板指标的数据源与各业务页读取的 Mock/API 同源。,可交叉核对同一实体数量。,品类页叶子总数与看板品类总数一致。,P1,草稿,,
DB-019,数据看板,本期范围-招标文件统计展示但不强制 PRD 验收,范围,§细粒度-数据看板（备注）,PRD 写明本期统计可不包含招标文件维度；界面若展示则需标注为实现扩展。,产品范围基线已确认。,范围评审记录或需求备注可追溯；测试用例标注可选。,P2,草稿,,
DB-020,数据看板,可访问性-待办区标题层级,非功能,§公共交互规范,待办与快捷操作使用清晰标题便于扫描。,无。,主要区块具备可视标题（手工检查）。,P3,草稿,,
CM-001,品类管理,品类管理-综述-三级树与同步日志能力,功能,§页面层级-品类管理-综述,维护产业领域→采购分类→品类三级结构；提供同步拉取与同步操作日志追溯。,菜单「品类管理」可见。,页面标题与综述文案可见；树与右上入口符合业务流程描述。,P0,草稿,,
CM-002,品类管理,品类-业务流程-进入页面加载树与统计卡,功能,§页面层级-品类管理-业务流程-1,进入页面后加载三级树及产业/采购分类/品类统计卡。,Mock 品类树可读。,三张统计卡数字与树遍历计数一致。,P0,草稿,,
CM-003,品类管理,品类-业务流程-展开产业领域与采购分类,功能,§页面层级-品类管理-业务流程-2,点击展开图标展开下级产业领域或采购分类节点。,节点存在子级。,展开后子节点显示；折叠后隐藏（本地状态）。,P0,草稿,,
CM-004,品类管理,品类-业务流程-搜索框实时过滤,功能,§页面层级-品类管理-业务流程-3,顶部搜索关键字实时过滤产业、采购分类、品类名称。,树非空。,输入关键字后仅展示匹配分支；清空恢复全量。,P0,草稿,,
CM-005,品类管理,品类-业务流程-同步信息拉取品类,功能,§页面层级-品类管理-业务流程-4,点击「同步信息」进入加载态并调用 POST /api/categories/sync 更新树数据。,接口可达或本地 Mock 返回 success。,成功后树与统计更新；失败保留原数据并提示（PRD 失败处理）。,P0,草稿,,
CM-006,品类管理,品类-业务流程-操作日志弹窗分页,功能,§页面层级-品类管理-业务流程-5,点击「操作日志」打开弹窗展示 category/sync 相关审计日志并支持分页。,审计写入链路可用。,弹窗可调阅；无记录时空态；分页控件可用（见 OperationLogDialog）。,P0,草稿,,
CM-007,品类管理,细粒度-点击同步信息,功能,§细粒度-品类管理-点击「同步信息」,同步前检查未在同步中；按钮 loading；成功后写审计、展示 message。,当前不在 syncing。,与 PRD「成功结果/失败处理」一致；返回结构校验失败有提示。,P0,草稿,,
CM-008,品类管理,细粒度-点击操作日志,功能,§细粒度-品类管理-点击「操作日志」,打开日志弹窗并按时间倒序加载 category 范围日志。,无。,空列表显示「暂无记录」类空态（PRD）。,P0,草稿,,
CM-009,品类管理,细粒度-树节点展开折叠,功能,§细粒度-品类管理-树节点展开/折叠,展开图标切换产业领域或采购分类子树显隐。,存在子级。,切换仅影响本地展开集合；无请求副作用。,P0,草稿,,
CM-010,品类管理,统计卡-产业领域数量展示,功能,§页面层级-品类管理-业务流程-1,第一张统计卡展示产业领域总数。,industries 数组可读。,数字等于顶层 Industry 数量。,P1,草稿,,
CM-011,品类管理,统计卡-采购分类数量展示,功能,§页面层级-品类管理-业务流程-1,第二张统计卡汇总全部采购分类节点数量。,树非空。,与遍历 procurementCategories 计数一致。,P1,草稿,,
CM-012,品类管理,统计卡-品类（叶子）数量展示,功能,§页面层级-品类管理-业务流程-1,第三张统计卡汇总品类叶子节点总数。,树非空。,与叶子 Category 计数一致。,P1,草稿,,
CM-013,品类管理,同步结果横幅/文案提示,功能,实现-CategoryPage,同步结束在页面顶部展示同步结果或错误文案（syncMessage）。,执行过一次同步。,成功/失败均有可读反馈；失败不修改本地树数据。,P1,草稿,,
CM-014,品类管理,同步成功写入审计-scope category,规则,§规则3 & §细粒度-同步信息,"同步成功后追加 DataAuditEntry（scope=category, action=sync）。",appendDataAudit 可用。,操作日志弹窗可见对应条目字段。,P1,草稿,,
CM-015,品类管理,同步中禁用重复提交,规则,§细粒度-品类管理-点击「同步信息」,syncing 为真时按钮禁用或不可重复触发同步。,网络延迟可模拟。,同步过程中按钮为 loading/disabled。,P1,草稿,,
CM-016,品类管理,树排序展示-sortIndustryTreeForDisplay,规则,实现-sortIndustryTreeForDisplay,过滤后的树按既定规则排序展示，保证稳定性。,搜索过滤激活。,同输入下列表顺序稳定可复现。,P2,草稿,,
CM-017,品类管理,搜索无匹配时的空树展示,功能,§页面层级-品类管理-业务流程-3,关键字无匹配时树区域为空或展示约定空态。,可输入不存在关键字。,不出现错误崩溃；用户能理解无结果。,P2,草稿,,
CM-018,品类管理,品类叶子节点展示名称与描述,功能,§页面层级-品类管理,叶子品类展示名称及可选描述文案。,品类节点含描述字段。,与数据结构一致；折行显示正常。,P2,草稿,,
CM-019,品类管理,展开状态持久（会话内）,规则,实现-default expanded sets,默认展开示例节点；用户折叠展开仅在会话内保持。,刷新页面。,刷新后恢复默认展开策略（按实现文档）。,P3,草稿,,
CM-020,品类管理,页面标题与副标题说明,功能,§页面层级-品类管理-综述,展示「品类管理」标题及三级层级说明文案。,无。,文案与 PRD 术语一致（产业领域/采购分类/品类）。,P2,草稿,,
CM-021,品类管理,集成-同步接口返回 industries 替换本地,功能,§页面层级/细粒度-品类管理,集成-同步接口返回 industries 替换本地。,品类页可达；依赖满足条目中说明。,接口返回 success 且 industries 为数组时替换 setMockIndustries。,P1,草稿,,
CM-022,品类管理,集成-同步 HTTP 非 2xx 错误提示,功能,§页面层级/细粒度-品类管理,集成-同步 HTTP 非 2xx 错误提示。,品类页可达；依赖满足条目中说明。,HTTP 错误抛出并可读提示。,P1,草稿,,
CM-023,品类管理,集成-同步返回体格式非法提示,功能,§页面层级/细粒度-品类管理,集成-同步返回体格式非法提示。,品类页可达；依赖满足条目中说明。,success 假或 industries 非数组时提示格式错误。,P1,草稿,,
CM-024,品类管理,日志弹窗标题与 scope 过滤,功能,§页面层级/细粒度-品类管理,日志弹窗标题与 scope 过滤。,品类页可达；依赖满足条目中说明。,弹窗标题「品类同步操作日志」；仅展示 category 范围日志。,P1,草稿,,
CM-025,品类管理,树图标与层级缩进,功能,§页面层级/细粒度-品类管理,树图标与层级缩进。,品类页可达；依赖满足条目中说明。,采购分类与品类层级视觉上可区分（图标或缩进）。,P2,草稿,,
CM-026,品类管理,搜索大小写策略,功能,§页面层级/细粒度-品类管理,搜索大小写策略。,品类页可达；依赖满足条目中说明。,当前实现为包含匹配；验收备注大小写敏感规则。,P2,草稿,,
