需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注
DATA-001,数据要素,品类树 Industry/ProcurementCategory/Category,数据,§数据要素-核心实体-品类树,系统须持久化并维护「产业领域→采购分类→品类」三级树结构，作为范本与资源的归属主数据。,品类同步或初始化数据可用；业务上已明确层级命名规则。,能在界面展示三级树且节点可展开；范本/资源表单品类选择与树节点一致；删除与审计口径与 PRD 数据要素一致。,,,,
DATA-002,数据要素,资源 TextFragment/TextBinding/TextVersion,数据,§数据要素-核心实体-资源,资源侧实体包含条款正文、与范本章节的绑定关系及版本快照，支撑草稿/发布与联动更新。,至少存在一个资源类型模块（文本/资格/评标/合同之一）已启用。,资源具备 content/draftContent、bindings、versions 等字段语义；发布后对非归档范本的联动行为符合全局规则。,,,,
DATA-003,数据要素,范本 Template/TemplateSection/TemplateVariable,数据,§数据要素-核心实体-范本,范本由模板、章节树、变量定义等组成，并与品类及 DOCX 编辑内容关联。,已选择品类且可创建草稿范本。,范本可维护 sections、variables、editProgress；状态含草稿/已发布/已归档；归档后章节快照只读。,,,,
DATA-004,数据要素,招标文件 BidDocument/VariableValue（预留）,数据,§数据要素-核心实体-招标文件,招标文件实体为本期预留数据模型，用于后续「范本→招标文件」扩展，不在本期功能验收范围内。,PRD 已标注预留；产品路线确认暂缓实现。,设计评审记录中明确本期不对 BidDocument 做功能开发；类型定义或库表可为空实现或仅占位。,,,,
DATA-005,数据要素,审计 DataAuditEntry,数据,§数据要素-核心实体-审计,审计日志记录关键操作，支撑合规追溯与问题排查。,关键业务接口已接入写日志调用点（或统一拦截）。,日志含 scope、action、entityId、actor、detail 等约定字段；可按实体 ID 查询且与 PRD 示例一致。,,,,
DATA-006,数据要素,通用字段 id/name/status/时间戳/逻辑删除,数据,§数据要素-关键字段-通用,业务实体普遍具备标识、名称、状态及生命周期时间与逻辑删除标记，保证列表与审计一致。,实体建模阶段已确定命名规范。,抽查任意核心实体：存在 id、name、status、createdAt、updatedAt；删除为逻辑删除时可追溯 deletedAt/deletedBy。,,,,
DATA-007,数据要素,资源字段 content/draftContent/versions/bindings,数据,§数据要素-关键字段-资源,资源业务字段支撑草稿/正式稿双轨、版本列表及与范本的绑定集合。,存在至少一条资源记录用于验证。,草稿编辑写入 draftContent；发布写入 content 并生成 versions；bindings 与绑定弹窗展示一致。,,,,
DATA-008,数据要素,范本字段 categoryId/version/editProgress/sections/variables,数据,§数据要素-关键字段-范本,范本业务字段支撑归属品类、版本、编辑进度及章节与变量容器。,存在草稿或已发布范本。,categoryId 与品类一致；version/editProgress 与界面展示一致；sections/variables 与编辑器回写结果一致。,,,,
DATA-009,数据要素,招标文件字段（预留）templateId/variableValues/sections,数据,§数据要素-关键字段-招标文件,招标文件侧字段预留，用于后续模板 ID、变量赋值及章节落地；本期不对最终用户功能验收。,路线图为后续迭代。,评审确认本期实现可不持久化该组字段或仅占位；无对外「生成招标文件」菜单验收。,,,,
DATA-010,数据要素,审计字段 scope/action/entityId/actor/detail,数据,§数据要素-关键字段-审计,审计条目字段需能唯一定位「谁在何时对何对象做了什么」。,审计写入链路已打通。,随机抽取日志：可解析 scope、action、entityId、actor、detail；时间排序正确。,,,,
