需求 ID,模块,需求名称,类型,PRD 依据,描述,前置条件,验收标准（可测）,优先级,状态,测试用例 ID,依赖/备注,变更标注
DB-001,数据看板,数据看板-综述-核心统计与待办入口,功能,§页面层级-数据看板-综述,展示品类、范本、资源等总览统计与待办；为运营与编制人员提供健康度与导航入口。,无；左侧菜单「数据看板」可见。,进入页面可见标题区；统计与待办区域渲染完成且不因单接口失败而白屏。,P0,草稿,,,
DB-002,数据看板,数据看板-业务流程-读取本地数据并计算指标,功能,§页面层级-数据看板-业务流程,读取品类树、范本、资源（及可选招标文件）数据；计算总量与状态分布；渲染指标卡与待办。,Mock 或持久化数据可读；客户端完成 storage 水合（若有）。,品类总数、范本总数/状态、招标文件卡片（若展示）数字与数据源一致；待办条数逻辑与实现一致。,P0,草稿,,,
DB-003,数据看板,细粒度-页面进入与数据加载,功能,§细粒度-数据看板-页面进入与数据加载,点击左侧「数据看板」进入；加载品类、范本、资源并计算统计（本期不含招标文件维度统计口径验收时可标注）。,无。,卡片与待办展示最新统计；异常时展示空值或默认占位且不阻断页面打开（PRD 失败处理）。,P0,草稿,,,
DB-004,数据看板,指标卡-品类总数与产业覆盖提示,功能,§页面层级-数据看板-业务流程,展示品类叶子总数及覆盖产业领域数（或等价 trend 文案）。,品类树数据可用。,数字等于三级树叶子品类计数；趋势文案与产业领域数量一致。,P1,草稿,,,
DB-005,数据看板,指标卡-范本总数与已发布/草稿分布,功能,§页面层级-数据看板-业务流程,展示范本总量及已发布、草稿等分布文案。,范本列表数据可用。,范本总数与列表一致；已发布/草稿数量与状态筛选结果一致。,P1,草稿,,,
DB-006,数据看板,指标卡-招标文件列表规模（展示层）,功能,§页面层级-数据看板-业务流程,展示招标文件相关统计卡片（若产品保留该维度）。,招标文件 Mock 或接口可用。,卡片数字与 getMockBidDocuments 结果一致；无数据时为 0。,P2,草稿,,,
DB-007,数据看板,待办-未完成范本编制（草稿且进度未满）,功能,§页面层级-数据看板-业务流程,待办区提示处于草稿且编制进度未满的范本数量及说明。,存在至少 0 条范本记录。,有未完成草稿时展示 warning 样式与条数；全部完成时展示「暂无」类提示。,P1,草稿,,,
DB-008,数据看板,待办-文本更新影响范本提示,功能,§页面层级-数据看板-业务流程,检测引用文本更新时间晚于范本更新时间的范本并提示。,范本章节存在 textFragmentId 绑定；资源带 updatedAt。,存在滞后引用时条数与判定逻辑一致；无影响时展示友好说明。,P1,草稿,,,
DB-009,数据看板,快速操作区-入口按钮展示,功能,§页面层级-数据看板-业务流程,展示「新建品类」「维护资源」「编制范本」等快捷入口区块（具体跳转依实现）。,页面加载完成。,区块标题与按钮文案可见；hover 样式符合公共交互规范。,P2,草稿,,,
DB-010,数据看板,菜单往返后统计刷新,功能,§页面层级-数据看板-业务流程-4,用户切换离开再返回数据看板时统计应按最新数据刷新。,可在其他页修改品类/范本/资源数据。,返回后数值与当前 Mock 数据一致（或触发重新计算）。,P1,草稿,,,
DB-011,数据看板,SSR 与 localStorage 水合一致性,规则,§规则3 & 实现-DashboardPage,首屏使用服务端快照避免水合失败；客户端就绪后切换为本地存储数据。,浏览器允许 localStorage。,控制台无 hydration mismatch；切换后统计更新。,P1,草稿,,,
DB-012,数据看板,统计口径-品类数为叶子品类计数,规则,§数据要素-品类树,品类总数按 Category 叶子节点累计而非产业或采购分类数量。,三级树非空。,与手工遍历品类列表计数一致。,P1,草稿,,,
DB-013,数据看板,统计口径-范本状态枚举一致,规则,§规则1-状态与流程统一,看板中范本状态统计与全局一致：**仅草稿、已发布**（现行实现无「已归档」范本状态）。,存在多条范本记录。,草稿+已发布计数之和等于范本总数；与 `Template.status` 枚举一致。,P1,草稿,,PRD 2026-05-13 与实现对齐,更新
DB-014,数据看板,待办附言-草稿与已发布等辅助信息,功能,§页面层级-数据看板-业务流程,待办项底部附言展示辅助信息（如草稿总数、已发布数量等，以 `DashboardPage` 实现为准）。,待办组件渲染。,附言数字与对应指标计算一致。,P2,草稿,,不含「范本归档」口径,更新
DB-015,数据看板,空数据与异常-不阻断打开,规则,§细粒度-数据看板-页面进入与数据加载,读取失败或数据为空时页面仍可打开并展示 0 或空态。,可模拟空列表。,无崩溃；卡片显示 0 或约定空态文案。,P1,草稿,,,
DB-016,数据看板,布局响应式-指标卡栅格,非功能,§公共能力-列表与布局,指标卡在窄屏单列、宽屏三列自适应。,浏览器可调整宽度。,md/lg 断点下栅格列数符合 Tailwind 配置。,P2,草稿,,,
DB-017,数据看板,性能-大数据量下列表仍可滚动浏览,非功能,§非功能需求（观测）,待办与快捷操作区在条目增多时可滚动不溢出视口。,Mock 膨胀数据（可选）。,页面不出现横向滚动条（除非设计允许）。,P2,草稿,,,
DB-018,数据看板,数据同源-与品类/范本/资源模块一致,规则,§总目标,看板指标的数据源与各业务页读取的 Mock/API 同源。,可交叉核对同一实体数量。,品类页叶子总数与看板品类总数一致。,P1,草稿,,,
